DateTime,Open,High,Low,Close
20050114 07:00:00,424.29,425.02,419.47,421.53
20050117 07:00:00,421.84,422.81,420.02,421.60
20050118 07:00:00,421.18,423.56,419.92,422.13
20050119 07:00:00,422.33,426.58,420.98,422.33
20050120 07:00:00,422.33,422.75,419.17,421.68
20050121 07:00:00,421.65,427.89,419.69,427.01
20050124 07:00:00,426.82,427.59,425.27,426.65
20050125 07:00:00,426.39,427.47,420.24,421.57
20050126 07:00:00,421.64,427.32,420.26,425.94
20050127 07:00:00,425.75,427.72,423.05,425.03
20050128 07:00:00,425.23,427.13,423.25,425.70
20050131 07:00:00,425.88,426.40,418.67,421.41
20050201 07:00:00,421.55,422.08,418.61,420.30
20050202 07:00:00,420.02,422.28,418.97,421.29
20050203 07:00:00,421.09,421.34,413.67,416.62
20050204 07:00:00,416.36,417.09,412.98,413.48
20050207 07:00:00,413.44,415.79,411.52,412.96
20050208 07:00:00,412.45,413.87,409.72,412.10
20050209 07:00:00,411.88,413.32,409.64,412.82
20050210 07:00:00,412.64,418.08,410.75,417.23
20050211 07:00:00,417.00,421.42,415.46,420.28
20050214 07:00:00,420.00,425.88,419.44,425.13
20050215 07:00:00,424.88,426.66,422.36,424.83
20050216 07:00:00,424.88,425.40,421.09,424.57
20050217 07:00:00,424.12,428.07,422.89,426.31
20050218 07:00:00,426.49,427.74,424.74,425.73
20050221 07:00:00,425.59,427.33,425.03,426.58
20050222 07:00:00,426.37,435.29,425.13,435.09
20050223 07:00:00,435.09,435.41,430.64,433.68
20050224 07:00:00,433.77,436.28,431.20,432.77
20050225 07:00:00,433.21,435.24,429.93,434.44
20050228 07:00:00,433.77,437.15,433.33,435.08
20050301 07:00:00,435.07,435.72,430.24,432.14
20050302 07:00:00,431.99,433.17,427.49,431.94
20050303 07:00:00,431.95,433.06,428.06,428.68
20050304 07:00:00,428.89,435.03,427.93,433.23
20050307 07:00:00,432.15,435.10,431.32,433.99
20050308 07:00:00,433.56,440.39,432.97,440.01
20050309 07:00:00,439.49,442.05,437.88,439.62
20050310 07:00:00,440.03,442.30,438.76,441.79
20050311 07:00:00,441.61,446.56,438.87,445.34
20050314 07:00:00,444.95,445.66,438.96,440.73
20050315 07:00:00,440.39,443.63,438.67,440.34
20050316 07:00:00,439.94,443.54,438.58,442.35
20050317 07:00:00,442.72,443.52,436.64,437.93
20050318 07:00:00,437.85,439.54,434.74,438.55
20050321 07:00:00,438.74,439.35,428.06,430.70
20050322 07:00:00,430.31,432.09,425.50,426.11
20050323 07:00:00,426.01,428.77,423.17,424.17
20050324 07:00:00,424.46,426.10,423.08,424.09
20050325 07:00:00,423.51,425.22,423.37,424.96
20050328 07:00:00,424.81,426.15,422.40,425.64
20050329 07:00:00,425.57,427.17,423.83,425.26
20050330 07:00:00,425.81,427.62,424.65,425.25
20050331 07:00:00,425.37,428.53,424.99,427.36
20050401 07:00:00,427.84,428.26,423.78,425.40
20050404 07:00:00,425.69,426.30,421.54,423.51
20050405 07:00:00,423.33,425.20,421.60,424.58
20050406 07:00:00,424.29,426.87,422.78,425.73
20050407 07:00:00,425.85,427.93,424.21,425.41
20050408 07:00:00,425.07,427.02,423.42,426.07
20050411 07:00:00,425.83,429.05,425.15,427.53
20050412 07:00:00,427.17,429.61,425.38,427.42
20050413 07:00:00,427.01,429.14,425.56,428.26
20050414 07:00:00,428.50,428.76,421.38,423.10
20050415 07:00:00,423.34,425.54,421.30,424.25
20050418 07:00:00,423.87,427.54,422.07,426.09
20050419 07:00:00,426.41,433.44,425.32,432.71
20050420 07:00:00,432.66,435.21,430.56,434.02
20050421 07:00:00,433.74,434.96,430.85,431.60
20050422 07:00:00,431.53,434.92,430.82,433.59
20050425 07:00:00,433.74,434.62,431.46,433.84
20050426 07:00:00,433.59,437.23,433.12,436.18
20050427 07:00:00,436.21,436.73,430.89,431.66
20050428 07:00:00,431.85,434.59,429.61,430.61
20050429 07:00:00,430.98,436.15,429.99,432.63
20050502 07:00:00,434.18,435.57,427.70,429.20
20050503 07:00:00,428.76,429.55,425.16,426.98
20050504 07:00:00,426.96,429.43,426.26,429.14
20050505 07:00:00,428.73,431.40,426.93,429.56
20050506 07:00:00,429.73,430.68,422.68,425.36
20050509 07:00:00,425.49,426.24,423.76,425.73
20050510 07:00:00,425.28,427.64,424.84,425.58
20050511 07:00:00,425.54,428.24,424.48,426.34
20050512 07:00:00,426.37,427.12,419.63,421.75
20050513 07:00:00,421.52,422.50,418.04,419.41
20050516 07:00:00,419.76,420.12,417.29,419.19
20050517 07:00:00,418.91,420.81,417.36,417.60
20050518 07:00:00,417.67,421.37,417.44,421.14
20050519 07:00:00,420.83,422.76,418.43,419.74
20050520 07:00:00,419.85,420.63,415.68,416.91
